date,time,record
2019-05-01,00:00:08,learning
2019-05-01,01:00:05,learning
2019-05-01,10:05:51,get up
2019-05-01,11:00:05,learning
2019-05-01,12:18:03,have lunch
2019-05-01,13:00:10,learning
2019-05-01,16:28:01,sleeping
2019-05-01,17:00:08,do nothing
2019-05-01,18:00:10,learning
2019-05-01,19:00:07,learning css
2019-05-01,20:00:06,learning
2019-05-01,21:00:05,learning
2019-05-01,22:00:07,learning
2019-05-01,23:01:46,learning
2019-05-02,00:00:08,learning
2019-05-02,01:16:45,sleeping
2019-05-02,02:00:09,sleeping
2019-05-02,09:24:12,get up
2019-05-02,10:00:09,learning css
2019-05-02,11:00:15,learning
2019-05-02,12:19:08,have lunch
2019-05-02,13:02:03,washing
2019-05-02,14:00:10,learning
2019-05-02,18:00:11,learning
2019-05-02,19:00:09,play game
2019-05-02,20:00:10,do nothing
2019-05-02,21:08:07,running
2019-05-02,22:00:49,watch
2019-05-02,23:00:40,watch game
2019-05-03,00:00:10,learning
2019-05-03,10:00:34,getting up
2019-05-03,11:00:08,learning
2019-05-03,12:00:29,learning
2019-05-03,16:00:17,learning
2019-05-03,17:00:06,learning
2019-05-03,18:01:15,learning
2019-05-03,19:00:11,learning
2019-05-03,20:00:05,learning
2019-05-03,21:00:08,learning
2019-05-03,23:00:06,learning
2019-05-04,00:00:10,learing
2019-05-04,01:00:06,learning
2019-05-04,07:10:39,get up
2019-05-04,11:00:07,sleeping
2019-05-04,13:04:35,having lunch
2019-05-04,14:00:09,learning
2019-05-04,15:00:07,learning
2019-05-04,18:00:12,OPENVPN
2019-05-04,20:00:07,learning
2019-05-04,21:00:07,learning
2019-05-04,22:00:07,learning]
2019-05-04,23:00:06,learning
2019-05-05,13:16:41,have lunch
2019-05-05,14:00:18,learning
2019-05-05,15:00:05,learning
2019-05-05,16:00:43,learning
2019-05-06,19:00:08,play game
2019-05-06,20:00:54,learning
2019-05-06,21:04:20,watch game
2019-05-07,11:00:10,learning
2019-05-07,12:02:39,learning
2019-05-07,13:09:17,learning
2019-05-07,14:00:08,play game
2019-05-07,17:00:08,learning
2019-05-07,18:00:08,learning
2019-05-07,20:28:07,learning
2019-05-07,21:03:31,learning
2019-05-07,22:00:51,play game
2019-05-07,23:05:49,watch
2019-05-08,08:00:22,get up
